feature,present,missing_pct,non_missing_count,first_valid_index,last_valid_index,longest_na_run,zero_count,zero_pct,longest_zero_run
brent_usd_bbl,True,0.0,1934,0,1933,0,0,0.0,0
usdcny,True,0.0,1934,0,1933,0,0,0.0,0
eurusd,True,0.0,1934,0,1933,0,0,0.0,0
carbon_grn_usd,True,9.57,1749,185,1933,185,0,0.0,0
eu_storage_pct,True,0.0,1934,0,1933,0,0,0.0,0
eu_lng_sendout_gwh,True,0.0,1934,0,1933,0,0,0.0,0
ru_velke_kapusany_kwh_d,True,28.13,1390,544,1933,544,370,19.13,368
wind_northsea_kmh,True,0.16,1931,3,1933,3,0,0.0,0
hdd_amsterdam,True,0.16,1931,3,1933,3,238,12.31,14
hdd_chicago,True,0.16,1931,3,1933,3,610,31.54,71
hdd_seoul,True,0.16,1931,3,1933,3,697,36.04,97
us_working_gas_bcf,True,0.31,1928,6,1933,6,0,0.0,0
us_ip_index,True,1.65,1902,32,1933,32,0,0.0,0
euro_ip_index,True,1.65,1902,32,1933,32,0,0.0,0
kr_ip_yoy,True,1.65,1902,32,1933,32,0,0.0,0
GPR,True,1.45,1906,28,1933,28,0,0.0,0
GPRT,True,1.45,1906,28,1933,28,0,0.0,0
GPRA,True,1.45,1906,28,1933,28,0,0.0,0
epu_europe,True,1.24,1910,24,1933,24,0,0.0,0
brent_usd_mmbtu,True,0.0,1934,0,1933,0,0,0.0,0
